,accp4,accp4c,accp4p,ARC,Belady,Cacheus,Clock,FIFO,FIFO-Merge,GDSF,Hyperbolic,LHD,LIRS,LeCaR,QDLP,S3FIFO,S4LRU,TwoQ,WTinyLFU
msr_proj_2.oracleGeneral.zst,0.8332,0.8266,0.8274,0.8174,0.659,0.8157,0.8541,0.8565,0.8471,0.844,0.8478,0.8491,0.8508,0.8548,0.808,0.8208,0.8404,0.8385,0.9004
msr_proj_1.oracleGeneral.zst,0.7004,0.6952,0.6964,0.6793,0.6536,0.6832,0.7199,0.7226,0.7343,0.6976,0.7207,0.7016,0.7168,0.695,0.6789,0.6859,0.6918,0.7189,0.7535
msr_prxy_0.oracleGeneral.zst,0.0428,0.0434,0.0466,0.0464,0.0257,0.0465,0.0491,0.0581,0.0528,0.0479,0.0501,0.0452,0.0465,0.0474,0.0467,0.0465,0.0506,0.0453,0.0428
msr_prxy_1.oracleGeneral.zst,0.0028,0.0027,0.0027,0.0026,0.0024,0.0032,0.0034,0.007,0.0048,0.0027,0.0042,0.0028,0.0027,0.0028,0.0026,0.0027,0.0029,0.003,0.003
msr_prn_0.oracleGeneral.zst,0.2105,0.21,0.2183,0.2136,0.1502,0.2206,0.2285,0.2403,0.237,0.2232,0.2303,0.2224,0.2153,0.2261,0.2135,0.214,0.2222,0.2139,0.2197
msr_usr_1.oracleGeneral.zst,0.3551,0.3561,0.3602,0.3511,0.3151,0.3775,0.3955,0.409,0.4107,0.3771,0.4147,0.407,0.3567,0.38,0.3517,0.3662,0.4094,0.3769,0.3761
msr_prn_1.oracleGeneral.zst,0.3458,0.3516,0.4005,0.4138,0.2922,0.4165,0.4236,0.4577,0.4497,0.412,0.4322,0.4286,0.4027,0.4174,0.392,0.3873,0.3975,0.4137,0.3712
msr_proj_0.oracleGeneral.zst,0.2036,0.2052,0.2258,0.2241,0.1417,0.222,0.2348,0.2632,0.2563,0.2365,0.2462,0.2349,0.2286,0.2315,0.2206,0.2215,0.231,0.2293,0.2539
msr_src1_1.oracleGeneral.zst,0.8505,0.8528,0.8608,0.8312,0.6855,0.8516,0.812,0.8147,0.8438,0.81,0.8181,0.814,0.9151,0.811,0.8413,0.8059,0.8359,0.7974,0.8408
msr_hm_0.oracleGeneral.zst,0.2797,0.2807,0.2904,0.2891,0.2019,0.2949,0.3147,0.334,0.3187,0.3033,0.3153,0.3048,0.2894,0.3175,0.2875,0.2891,0.3005,0.2992,0.2914
msr_src1_0.oracleGeneral.zst,0.7722,0.7784,0.7868,0.7792,0.7329,0.8232,0.9108,0.9151,0.8913,0.9032,0.9041,0.8326,0.7814,0.911,0.7912,0.7984,0.7991,0.8501,0.7775
msr_web_2.oracleGeneral.zst,0.8744,0.8803,0.8836,0.9786,0.8583,0.9787,0.9929,0.9929,0.9798,0.9928,0.9926,0.9642,0.8707,0.9929,0.9785,0.9925,0.9002,0.9927,0.8777
msr_proj_4.oracleGeneral.zst,0.7315,0.7351,0.7125,0.7187,0.5059,0.772,0.8137,0.802,0.7875,0.7969,0.8253,0.8123,0.7231,0.8129,0.7342,0.7295,0.8363,0.7294,0.7358
msr_usr_2.oracleGeneral.zst,0.724,0.7278,0.7283,0.7206,0.6977,0.7267,0.7525,0.7538,0.7606,0.7493,0.7526,0.7553,0.722,0.7399,0.7199,0.7409,0.7259,0.7517,0.736
