benchmarks FlexCache S3-FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF
Twitter 0.004 0.004 0.001 -0.001 -0.001 -0.002 0.002 -0.001
MetaKV 0.000 0.000 -0.002 -0.001 0.000 -0.000 -0.002 0.001
MetaCDN -0.004 -0.001 -0.007 -0.002 -0.000 0.001 0.006 0.011
TencentPhoto -0.000 0.002 -0.007 -0.001 0.001 -0.011 -0.041 -0.004
Wikimedia 0.008 0.006 0.008 0.005 0.002 0.006 0.003 -0.003
Tencent 0.018 0.012 0.007 0.009 0.005 0.019 0.021 -0.016
Systor 0.029 0.031 0.030 0.022 0.002 0.038 0.012 0.032
fiu 0.180 0.159 0.017 0.025 0.066 0.230 0.214 0.103
MSR 0.232 0.173 0.072 0.077 0.048 0.284 0.328 0.026
Alibaba 0.035 0.017 0.009 0.004 0.005 0.039 0.035 -0.023
CloudPhysics 0.223 0.091 0.054 0.045 0.022 0.250 0.232 0.071
